Unique ID,Job Title,Salary Estimate,Company Rating,Company Name,Company Location,Headquarters Location,Number of Employees,Date Founded,Type of Ownership,Industry,Sector,Revenue (USD),Quality Score
0,"Data Analyst, Center on Immigration and Justice (CIJ)","$51,500.00",3.2,Vera Institute of Justice,NY,New York,201-500 Employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,"$100,000,000-$500,000,000",3.0
1,Quality Data Analyst,"$51,500.00",3.8,Visiting Nurse Service of New York,NY,New York,10000+ Employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$2,000,000,000-$5,000,000,000",3.36
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]","$51,500.00",3.4,Squarespace,NY,New York,1001-5000 Employees,2003,Company - Private,Internet,Information Technology,Unknown,3.12
3,Data Analyst,"$51,500.00",4.1,Celerity,NY,McLean,201-500 Employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,"$50,000,000-$100,000,000",3.54
4,Reporting Data Analyst,"$51,500.00",3.9,FanDuel,NY,New York,501-1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation","$100,000,000-$500,000,000",3.42
5,Data Analyst,"$51,500.00",3.9,Point72,NY,Stamford,1001-5000 Employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown,3.42
6,Business/Data Analyst (FP&A),"$51,500.00",4.4,Two Sigma,NY,New York,1001-5000 Employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown,3.72
7,Data Science Analyst,"$51,500.00",3.7,GNY Insurance Companies,NY,New York,201-500 Employees,1914,Company - Private,Insurance Carriers,Insurance,"$100,000,000-$500,000,000",3.3
8,Data Analyst,"$51,500.00",4.0,DMGT,NY,London,5001-10000 Employees,1896,Company - Public,Venture Capital & Private Equity,Finance,"$1,000,000,000-$2,000,000,000",3.48
9,"Data Analyst, Merchant Health","$51,500.00",4.4,Riskified,NY,New York,501-1000 Employees,2013,Company - Private,Research & Development,Business Services,Unknown,3.72
10,Data Analyst,"$51,500.00",4.0,NYU Langone Health,NY,New York,10000+ Employees,1841,Hospital,Health Care Services & Hospitals,Health Care,"$5,000,000,000-$10,000,000,000",3.48
11,Data Analyst,"$51,500.00",Unknown,BulbHead,NJ,Unknown,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,1.55
12,DATA ANALYST,"$51,500.00",3.7,Montefiore Medical,NY,Bronx,10000+ Employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$2,000,000,000-$5,000,000,000",3.3
13,Senior Data Analyst,"$51,500.00",3.0,Known,NY,New York,201-500 Employees,2004,Company - Private,Advertising & Marketing,Business Services,"$100,000,000-$500,000,000",2.88
14,Investment Advisory Data Analyst,"$51,500.00",3.4,Advisor Group,NJ,Phoenix,1001-5000 Employees,2016,Company - Private,Brokerage Services,Finance,"$1,000,000-$5,000,000",3.12
15,Sustainability Data Analyst,"$51,500.00",3.6,CodeGreen Solutions,NY,New York,1-50 Employees,Unknown,Company - Private,Building & Personnel Services,Business Services,Unknown,3.24
16,Data Analyst,"$51,500.00",3.8,Undertone,NY,New York,201-500 Employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown,3.36
17,Clinical Data Analyst,"$51,500.00",3.8,NYSTEC,NY,Rome,51-200 Employees,1996,Nonprofit Organization,Consulting,Business Services,"$25,000,000-$50,000,000",3.36
18,DATA PROGRAMMER/ANALYST,"$51,500.00",3.9,"Education Development Center, Inc.",NY,Waltham,501-1000 Employees,1958,Nonprofit Organization,Research & Development,Business Services,"$100,000,000-$500,000,000",3.42
19,Data Analyst,"$51,500.00",4.9,Teachers Pay Teachers,NY,New York,51-200 Employees,2006,Company - Private,Internet,Information Technology,Unknown,4.02
20,"Product Analyst, Data Science","$51,500.00",4.4,Google,NY,Mountain View,10000+ Employees,1998,Company - Public,Internet,Information Technology,"$10,000,000,000+",3.72
21,Data Science Analyst,"$51,500.00",Unknown,MUSIC & Entertainment,NY,Marina del Rey,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,1.55
22,Data Analyst - Intex Developer,"$51,500.00",3.3,Macquarie Group,NY,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,"$5,000,000,000-$10,000,000,000",3.06
23,Data Analyst,"$51,500.00",3.5,Andiamo,NY,Warren,201-500 Employees,Unknown,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services","$1,000,000-$5,000,000",3.18
24,Entry Level / Jr. Data Analyst,"$51,500.00",3.8,Dash Technologies Inc,NY,Columbus,1-50 Employees,Unknown,Unknown,Unknown,Unknown,Unknown,3.36
25,Data Analyst,"$51,500.00",4.0,Hearst Communications,NY,San Francisco,1-50 Employees,Unknown,Company - Private,Advertising & Marketing,Business Services,"<$1,000,000",3.48
26,Data + Business Intelligence Analyst,"$51,500.00",5.0,Duolingo,NY,Pittsburgh,201-500 Employees,2011,Company - Private,Internet,Information Technology,"$10,000,000-$25,000,000",4.08
27,"Data Analyst, Product","$51,500.00",4.8,Ro,NY,New York,51-200 Employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,3.96
28,Data Analyst Entry Level,"$51,500.00",3.7,Endai,NY,New York,1-50 Employees,Unknown,Company - Private,Advertising & Marketing,Business Services,"$1,000,000-$5,000,000",3.3
29,Data Analyst,"$51,500.00",4.7,BlueLabs,NY,Washington,1-50 Employees,Unknown,Company - Private,Research & Development,Business Services,Unknown,3.9
30,Data Analyst,"$66,500.00",3.6,Revel,NY,Seattle,51-200 Employees,2005,Company - Private,Consulting,Business Services,"$25,000,000-$50,000,000",4.14
31,Data Analyst,"$66,500.00",3.6,NALLAS CORPORATION,NJ,Newtown,1-50 Employees,Unknown,Company - Private,Enterprise Software & Network Solutions,Information Technology,"$1,000,000-$5,000,000",4.14
32,Data Analyst,"$66,500.00",3.5,Pozent,NY,Piscataway,1-50 Employees,Unknown,Contract,Unknown,Unknown,"<$1,000,000",4.08
33,"Data Science Analyst, Capital Markets","$66,500.00",3.2,SoFi,NY,San Francisco,1001-5000 Employees,2011,Company - Private,Lending,Finance,Unknown,3.9
34,Data Analyst (Games),"$66,500.00",Unknown,Carry1st,NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.83
35,Analyst/Associate Global Markets Credit Data Analyst,"$66,500.00",3.7,Bank of America,NY,Charlotte,10000+ Employees,1904,Company - Public,Banks & Credit Unions,Finance,"$10,000,000,000+",4.2
36,Data Business Analyst,"$66,500.00",Unknown,Clear Street,NY,New York,51-200 Employees,2018,Company - Public,Unknown,Unknown,"$1,000,000-$5,000,000",2.83
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,"$66,500.00",3.6,Nutech Information Systems,NY,Westmont,1-50 Employees,Unknown,Company - Private,Computer Hardware & Software,Information Technology,"<$1,000,000",4.14
38,Data Science Analyst/Engineer,"$66,500.00",4.0,NYU Langone Health,NY,New York,10000+ Employees,1841,Hospital,Health Care Services & Hospitals,Health Care,"$5,000,000,000-$10,000,000,000",4.38
39,Data Analyst,"$66,500.00",4.6,The Trevor Project,NY,West Hollywood,51-200 Employees,Unknown,Nonprofit Organization,Social Assistance,Non-Profit,"$10,000,000-$25,000,000",4.74
40,"Business Analyst, Data Platforms","$66,500.00",Unknown,Pinto,NY,New York,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,2.83
41,Behavioral Data Analyst,"$66,500.00",Unknown,AB InBev,NY,Kyiv,1001-5000 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown,2.83
42,Data Analyst,"$66,500.00",5.0,Whip Media Group,NY,Santa Monica,51-200 Employees,2016,Company - Private,Unknown,Unknown,Unknown,4.98
